Symbol,GeneID,Raw counts
DDX11L1,100287102,0
WASH7P,653635,8
MIR6859-1,102466751,0
MIR1302-2,100302278,0
FAM138A,645520,0
OR4F5,79501,0
LOC729737,729737,2
DDX11L17,102725121,1
WASH9P,102723897,13
MIR6859-2,102465909,0
OR4F29,729759,0
LOC100132287,100132287,3
LOC105378947,105378947,3
LOC101928626,101928626,0
OR4F16,81399,0
LOC100288069,100288069,3
FAM87B,400728,0
LINC00115,79854,0
LINC01128,643837,2
FAM41C,284593,0
LINC02593,100130417,0
SAMD11,148398,0
NOC2L,26155,4
KLHL17,339451,0
PLEKHN1,84069,3
PERM1,84808,4
HES4,57801,0
ISG15,9636,23
AGRN,375790,2
LOC105378948,105378948,0
RNF223,401934,0
C1orf159,54991,0
LINC01342,254099,0
MIR200B,406984,0
MIR200A,406983,0
MIR429,554210,0
TTLL10,254173,0
TNFRSF18,8784,0
TNFRSF4,7293,0
SDF4,51150,37
B3GALT6,126792,3
C1QTNF12,388581,0
UBE2J2,118424,3
SCNN1D,6339,1
ACAP3,116983,1
MIR6726,102465434,0
PUSL1,126789,7
INTS11,54973,14
MIR6727,102465435,0
CPTP,80772,2
TAS1R3,83756,0
DVL1,1855,0
MIR6808,102466740,0
MXRA8,54587,2
AURKAIP1,54998,50
CCNL2,81669,9
MRPL20-AS1,148413,10
MRPL20,55052,127
ANKRD65,441869,1
TMEM88B,643965,0
LINC01770,102724312,0
VWA1,64856,5
ATAD3C,219293,0
ATAD3B,83858,1
ATAD3A,55210,0
TMEM240,339453,0
SSU72,29101,83
FNDC10,643988,2
MIB2,142678,7
MMP23B,8510,0
CDK11B,984,9
SLC35E2B,728661,5
MMP23A,8511,0
CDK11A,728642,3
SLC35E2A,9906,6
"NADK",65220,5
GNB1,2782,34
GNB1-DT,105378949,0
CALML6,163688,0
TMEM52,339456,0
CFAP74,85452,0
GABRD,2563,0
PRKCZ,5590,0
PRKCZ-AS1,100506504,0
FAAP20,199990,1
SKI,6497,4
MORN1,79906,2
LOC100129534,100129534,0
RER1,11079,160
PEX10,5192,0
PLCH2,9651,2
PANK4,55229,8
HES5,388585,4
TNFRSF14-AS1,115110,0
TNFRSF14,8764,0
LOC100996583,100996583,0
PRXL2B,127281,5
MMEL1,79258,0
TTC34,100287898,0
ACTRT2,140625,0
PRDM16-DT,440556,0
PRDM16,63976,0
MIR4251,100422968,0
ARHGEF16,27237,5
MEGF6,1953,0
MIR551A,693135,0
TPRG1L,127262,12
WRAP73,49856,12
TP73,7161,4
TP73-AS1,57212,0
CCDC27,148870,0
SMIM1,388588,2
LRRC47,57470,4
CEP104,9731,7
DFFB,1677,0
C1orf174,339448,7
LINC01134,100133612,0
LINC01346,728716,0
LINC01777,284661,0
AJAP1,55966,5
MIR4689,100616421,0
NPHP4,261734,5
KCNAB2,8514,0
CHD5,26038,0
RPL22,6146,195
RNF207-AS1,102724450,0
RNF207,388591,0
ICMT,23463,5
ICMT-DT,148645,2
HES3,390992,0
GPR153,387509,2
ACOT7,11332,66
HES2,54626,14
ESPN,83715,0
MIR4252,100422975,0
TNFRSF25,8718,4
PLEKHG5,57449,6
NOL9,79707,2
TAS1R1,80835,0
ZBTB48,3104,1
KLHL21,9903,10
PHF13,148479,2
THAP3,90326,12
DNAJC11,55735,10
LINC01672,100505887,0
CAMTA1,23261,153
VAMP3,9341,107
PER3,8863,0
UTS2,10911,0
TNFRSF9,3604,0
PARK7,11315,353
ERRFI1,54206,27
LINC01714,102724539,0
SLC45A1,50651,0
RERE,473,4
RERE-AS1,102724552,0
ENO1,2023,480
MIR6728,102465436,0
ENO1-AS1,100505975,2
CA6,765,0
SLC2A7,155184,0
SLC2A5,6518,0
GPR157,80045,1
MIR34A,407040,0
H6PD,9563,2
SPSB1,80176,4
LINC02606,100506022,0
SLC25A33,84275,0
TMEM201,199953,0
PIK3CD,5293,0
PIK3CD-AS1,644997,0
PIK3CD-AS2,101929074,2
CLSTN1,22883,1
CTNNBIP1,56998,210
LZIC,84328,39
NMNAT1,64802,7
MIR5697,100847055,0
RBP7,116362,0
UBE4B,10277,14
KIF1B,23095,6
PGD,5226,45
CENPS-CORT,100526739,0
CENPS,378708,1
CORT,1325,0
DFFA,1676,43
PEX14,5195,2
CASZ1,54897,4
C1orf127,148345,0
TARDBP,23435,54
MASP2,10747,0
SRM,6723,4
EXOSC10,5394,107
MTOR,2475,0
MTOR-AS1,100873935,0
ANGPTL7,10218,0
UBIAD1,29914,9
DISP3,57540,0
LINC01647,101929181,0
FBXO2,26232,3
FBXO44,93611,15
FBXO6,26270,25
MAD2L2,10459,36
DRAXIN,374946,0
AGTRAP,57085,354
C1orf167,284498,0
C1orf167-AS1,102724659,0
MTHFR,4524,2
